Date,ALL,éÄé“êî
2022/1/1,466.0,0.0
2022/1/2,432.0,2.0
2022/1/3,788.0,1.0
2022/1/4,1094.0,1.0
2022/1/5,2788.0,1.0
2022/1/6,4486.0,0.0
2022/1/7,6553.0,2.0
2022/1/8,8701.0,2.0
2022/1/9,8173.0,1.0
2022/1/10,5734.0,2.0
2022/1/11,5704.0,2.0
2022/1/12,15587.0,5.0
2022/1/13,21010.0,2.0
2022/1/14,24054.0,10.0
2022/1/15,29685.0,6.0
2022/1/16,26842.0,2.0
2022/1/17,17134.0,2.0
2022/1/18,40477.0,10.0
2022/1/19,49182.0,13.0
2022/1/20,53723.0,12.0
2022/1/21,55658.0,9.0
2022/1/22,64249.0,12.0
2022/1/23,53768.0,16.0
2022/1/24,33165.0,17.0
2022/1/25,83040.0,36.0
2022/1/26,81333.0,40.0
2022/1/27,85957.0,43.0
2022/1/28,85060.0,44.0
2022/1/29,97543.0,44.0
2022/1/30,78473.0,35.0
2022/1/31,41836.0,28.0
2022/2/1,104520.0,79.0
2022/2/2,98644.0,78.0
2022/2/3,98205.0,90.0
2022/2/4,94722.0,92.0
2022/2/5,100921.0,127.0
2022/2/6,75151.0,67.0
2022/2/7,41653.0,122.0
2022/2/8,104336.0,141.0
2022/2/9,96408.0,157.0
2022/2/10,94100.0,177.0
2022/2/11,88421.0,144.0
2022/2/12,40147.0,146.0
2022/2/13,78233.0,157.0
2022/2/14,37773.0,136.0
2022/2/15,100079.0,212.0
2022/2/16,93111.0,255.0
2022/2/17,86501.0,245.0
2022/2/18,73031.0,238.0
2022/2/19,77100.0,205.0
2022/2/20,60104.0,187.0
2022/2/21,30046.0,181.0
2022/2/22,83259.0,277.0
2022/2/23,83984.0,265.0
2022/2/24,35135.0,230.0
2022/2/25,72187.0,257.0
2022/2/26,75539.0,261.0
2022/2/27,54162.0,180.0
2022/2/28,28641.0,191.0
2022/3/1,76998.0,234.0
2022/3/2,71959.0,236.0
2022/3/3,61037.0,258.0
2022/3/4,55712.0,257.0
2022/3/5,60155.0,186.0
2022/3/6,45991.0,147.0
2022/3/7,22567.0,115.0
2022/3/8,65392.0,233.0
2022/3/9,63416.0,206.0
2022/3/10,54414.0,212.0
2022/3/11,48945.0,165.0
2022/3/12,53565.0,169.0
2022/3/13,41927.0,125.0
2022/3/14,21662.0,108.0
2022/3/15,60579.0,182.0
2022/3/16,57633.0,158.0
2022/3/17,48592.0,165.0
2022/3/18,41197.0,157.0
2022/3/19,42770.0,127.0
2022/3/20,33580.0,76.0
2022/3/21,19555.0,57.0
2022/3/22,16008.0,72.0
2022/3/23,53425.0,112.0
2022/3/24,50852.0,130.0
2022/3/25,43748.0,116.0
2022/3/26,46142.0,98.0
2022/3/27,37613.0,68.0
2022/3/28,20007.0,64.0
2022/3/29,55201.0,82.0
2022/3/30,54730.0,97.0
2022/3/31,49664.0,87.0
2022/4/1,46142.0,103.0
2022/4/2,49567.0,48.0
2022/4/3,39160.0,38.0
2022/4/4,19865.0,41.0
2022/4/5,55949.0,60.0
2022/4/6,57634.0,69.0
2022/4/7,53080.0,72.0
2022/4/8,49264.0,62.0
2022/4/9,53119.0,56.0
2022/4/10,40991.0,38.0
2022/4/11,21045.0,37.0
2022/4/12,60760.0,44.0
2022/4/13,58565.0,60.0
2022/4/14,49658.0,59.0
2022/4/15,44372.0,61.0
2022/4/16,43883.0,47.0
2022/4/17,32462.0,31.0
2022/4/18,15593.0,26.0
2022/4/19,49008.0,53.0
2022/4/20,49407.0,49.0
2022/4/21,43462.0,50.0
2022/4/22,40237.0,56.0
2022/4/23,43447.0,27.0
2022/4/24,33855.0,24.0
2022/4/25,16682.0,36.0
2022/4/26,47689.0,58.0
2022/4/27,45486.0,65.0
2022/4/28,38667.0,39.0
2022/4/29,34805.0,44.0
2022/4/30,15785.0,19.0
2022/5/1,26647.0,32.0
2022/5/2,14983.0,30.0
2022/5/3,38970.0,52.0
2022/5/4,20860.0,25.0
2022/5/5,19414.0,18.0
2022/5/6,18821.0,35.0
2022/5/7,49583.0,24.0
2022/5/8,40152.0,28.0
2022/5/9,20033.0,30.0
2022/5/10,49834.0,51.0
2022/5/11,45415.0,41.0
2022/5/12,38604.0,39.0
2022/5/13,36996.0,31.0
2022/5/14,39537.0,34.0
2022/5/15,30594.0,22.0
2022/5/16,15329.0,28.0
2022/5/17,43851.0,33.0
2022/5/18,42257.0,52.0
2022/5/19,36788.0,36.0
2022/5/20,35041.0,44.0
2022/5/21,35942.0,37.0
2022/5/22,26838.0,16.0
2022/5/23,12821.0,30.0
2022/5/24,37885.0,32.0
2022/5/25,34736.0,49.0
2022/5/26,28169.0,40.0
2022/5/27,24963.0,39.0
2022/5/28,25039.0,39.0
2022/5/29,17390.0,22.0
2022/5/30,8375.0,24.0
